Country Name,Country Code,Indicator Name,Indicator Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,"Population, total",SP.POP.TOTL,3105037,3084102,3065745,3047246,3026486,3004393,2983421,2964296,2946293,2928976,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469,2777970
American Samoa,ASM,"Population, total",SP.POP.TOTL,58177,57941,57626,57254,56837,56383,55891,55366,54849,54310,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035,44273,43914
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,77195,78075,78941,79869,80895,82016,83251,84534,85695,86729,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219,93763,94298
Australia,AUS,"Population, total",SP.POP.TOTL,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26638544
Austria,AUT,"Population, total",SP.POP.TOTL,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9132383
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10112555
Burundi,BDI,"Population, total",SP.POP.TOTL,6648938,6860846,7120496,7388874,7658190,7944609,8278109,8709366,9126605,9455733,9795479,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213,12889576,13238559
Belgium,BEL,"Population, total",SP.POP.TOTL,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11685814,11822592
Benin,BEN,"Population, total",SP.POP.TOTL,7431783,7659208,7894554,8149419,8402631,8647761,8906469,9172514,9445710,9726380,10014078,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895,13352864,13712828
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,12632269,13030591,13445977,13876127,14316242,14757074,15197915,15650022,16116845,16602651,17113732,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683,22673762,23251485
Bangladesh,BGD,"Population, total",SP.POP.TOTL,134139826,136503206,138789725,140912590,142628831,144135934,145421318,146706810,148391139,150211005,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372,172954319
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743,6465097,6430370
Bahrain,BHR,"Population, total",SP.POP.TOTL,748324,778256,833451,901921,970981,1040532,1110343,1179453,1213645,1212077,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265,1472233,1485509
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,334002,338490,343089,347804,352664,357666,362795,368057,373272,377950,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906,409984,412623
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4198410,4183757,4142860,4094297,4058086,4007876,3943392,3877750,3811088,3743142,3674374,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943,3233526,3210847
Belarus,BLR,"Population, total",SP.POP.TOTL,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298
Belize,BLZ,"Population, total",SP.POP.TOTL,255987,263998,272128,280375,288729,297173,305671,314171,322106,329538,337059,344688,352335,359871,367313,374693,382066,389095,394921,400031,405272,410825
Bermuda,BMU,"Population, total",SP.POP.TOTL,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65138,65237,64554,63873,63918,63911,63893,63764,63595,63489
Bolivia,BOL,"Population, total",SP.POP.TOTL,8900583,9057378,9216279,9377388,9542663,9711152,9880593,10051317,10223270,10396246,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472,12224110,12388571
Brazil,BRA,"Population, total",SP.POP.TOTL,180476685,182629278,184722043,186797334,188820682,190779453,192672317,194517549,196353492,198185302,199977707,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223,215313498,216422446
Barbados,BRB,"Population, total",SP.POP.TOTL,266455,267499,268505,269477,270425,271444,272635,273791,274711,275486,276197,276865,277493,278083,278649,279187,279688,280180,280693,281200,281635,281995
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,347463,354045,360461,366717,372808,378748,384568,390311,396053,401506,406634,411702,416656,421437,425994,430276,434274,438048,441725,445373,449002,452524
Bhutan,BTN,"Population, total",SP.POP.TOTL,619048,634627,649991,663323,673260,681614,689737,697678,705516,713331,721145,728889,736357,743274,749761,756121,762096,767459,772506,777486,782455,787424
Botswana,BWA,"Population, total",SP.POP.TOTL,1795130,1826863,1859085,1892807,1928704,1966977,2007320,2048997,2091664,2134037,2175425,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423,2630296,2675352
Central African Republic,CAF,"Population, total",SP.POP.TOTL,3930648,4026841,4115138,4208834,4294352,4375569,4467233,4564540,4660067,4732022,4773306,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154,5579144,5742315
Canada,CAN,"Population, total",SP.POP.TOTL,31359199,31642461,31938807,32242732,32571193,32888886,33247298,33630069,34005902,34339221,34713395,35080992,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38939056,40097761
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,106959751,106624167,106331716,106041911,105772481,105378748,105001883,104800475,104421447,104174038,103935318,103713726,103496179,103257886,102994278,102740078,102538451,102398537,102180124,101413157,100108262,100156608
Switzerland,CHE,"Population, total",SP.POP.TOTL,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8775760,8849852
Channel Islands,CHI,"Population, total",SP.POP.TOTL,147167,148341,149538,150763,151985,153225,154475,155721,156933,157819,158621,159794,160912,162190,163721,165215,167259,169410,171113,172683,174079,175346
Chile,CHL,"Population, total",SP.POP.TOTL,15693790,15859112,16017966,16175311,16334575,16495538,16661462,16833447,17004162,17173573,17341771,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184,19603733,19629590
China,CHN,"Population, total",SP.POP.TOTL,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,17683897,18116451,18544903,18970215,19394057,19817700,20244449,20677762,21120042,21562914,22010712,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790,27478249,28160542,28873034
Cameroon,CMR,"Population, total",SP.POP.TOTL,15914033,16354326,16809407,17275171,17751333,18251866,18777081,19319274,19878036,20448873,21032684,21632850,22299585,23012646,23711630,24393181,25076747,25782341,26491087,27198628,27914536,28647293
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,51662071,53205639,54815607,56550247,58381630,60289422,62249724,64270232,66391257,68654269,70997870,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164,95894118,99010212,102262808
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,3331158,3424653,3543012,3672839,3813323,3956329,4089602,4257230,4437884,4584216,4713257,4828066,4944861,5064386,5186824,5312340,5441062,5570733,5702174,5835806,5970424,6106869
Colombia,COL,"Population, total",SP.POP.TOTL,40454050,41057687,41648268,42220940,42772910,43306582,43815313,44313917,44816108,45308899,45782417,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562,51874024,52085168
Comoros,COM,"Population, total",SP.POP.TOTL,559047,570130,581154,592683,604658,616899,629470,642493,656024,670071,684553,699393,714612,730216,746232,761664,776313,790986,806166,821625,836774,852075
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,473231,480089,486583,492827,498884,504733,510336,515638,521212,527521,533864,539940,546076,552166,558394,564954,571202,577030,582640,587925,593149,598682
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4122623,4188610,4252800,4315887,4378172,4440019,4501921,4563127,4622252,4679926,4736593,4791535,4844288,4895242,4945205,4993842,5040734,5084532,5123105,5153957,5180829,5212173
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,2687634,2712172,2735176,2756536,2777604,2798623,2819748,2840648,2860236,2878168,2898802,2922026,2945840,2969980,2993247,3016651,3058106,3090374,3106185,3128519,3147057,3167738
Cuba,CUB,"Population, total",SP.POP.TOTL,11170051,11199217,11225294,11246114,11260630,11269887,11276609,11283185,11290417,11298710,11309290,11321579,11332026,11339894,11342012,11336405,11328244,11316697,11300698,11256372,11212191,11194449
Curacao,CUW,"Population, total",SP.POP.TOTL,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159664,160175,159336,157441,154947,152369,149996,147862
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,42456,43862,45286,46727,48177,49647,51123,52602,54074,55492,56860,58212,59559,60911,62255,63581,64884,66134,67311,68136,68706,69310
Cyprus,CYP,"Population, total",SP.POP.TOTL,982194,1000350,1018684,1037062,1055438,1073873,1092390,1110974,1129686,1145086,1156556,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188,1251488,1260138
Czechia,CZE,"Population, total",SP.POP.TOTL,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118,10873689
Germany,DEU,"Population, total",SP.POP.TOTL,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,84482267
Djibouti,DJI,"Population, total",SP.POP.TOTL,789129,806411,818373,830861,846947,865196,882886,901103,919199,936811,954297,971753,989087,1006259,1023261,1040233,1057198,1073994,1090156,1105557,1120849,1136455
Dominica,DMA,"Population, total",SP.POP.TOTL,68262,68442,68574,68674,68742,68775,68782,68787,68755,68742,68888,68819,69371,70007,70075,70403,70823,71428,71995,72412,72737,73040
Denmark,DNK,"Population, total",SP.POP.TOTL,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037,5946952
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,8795101,8919852,9043127,9164768,9284168,9402206,9522948,9648061,9775755,9903737,10030882,10157051,10282115,10405832,10527592,10647244,10765531,10881882,10999664,11117873,11228821,11332972
Algeria,DZA,"Population, total",SP.POP.TOTL,31624696,32055883,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225,45606480
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,1850453077,1866220978,1881541652,1896768430,1911702057,1926287101,1940749039,1955023279,1969168373,1984249541,2001246209,2018050656,2034247084,2049740052,2065155186,2080901482,2094506990,2106374009,2116360715,2123610397,2129094071,2133652241
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,2591204247,2635731526,2680567394,2725013738,2769421149,2813790790,2857587007,2901329923,2946285613,2991403487,3035159632,3078407213,3121656203,3165214886,3208369547,3250752755,3292896609,3334561751,3374383528,3411268373,3447398652,3486290439
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2083969920,2100610344,2116651449,2132517760,2148405823,2164155292,2179914111,2195169711,2210203758,2225992094,2243776727,2261274500,2278232287,2294507020,2310721864,2327132966,2341383691,2353856866,2363934334,2370214403,2375208613,2380601170
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,217808502,218779991,219860219,220987094,222181747,223150949,224757863,226581984,228742156,230906639,232735642,234709774,236718663,238848390,240976831,243006453,245052675,247195931,248913167,250663105,246915820,247474425
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,865618646,867833353,870382097,873001450,875680116,878472460,882068986,885603905,889077806,891273900,894705970,898764759,902938502,907094808,911173722,914748588,918181600,921212388,923384672,924168763,920988359,923929755
Ecuador,ECU,"Population, total",SP.POP.TOTL,13070609,13301184,13534593,13770012,14009061,14251835,14496797,14742766,14989585,15237728,15483883,15722989,15957994,16195902,16439585,16696944,17015672,17343740,17588595,17797737,18001000,18190484
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,74393759,75963322,77522427,79075310,80629670,82218755,83844783,85501064,87252413,89200054,91240376,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178,110990103,112716598
Euro area,EMU,"Population, total",SP.POP.TOTL,328443707,330208234,332006792,333709006,335250759,336971054,338599969,339682801,340467048,339722971,340450693,341584506,342725321,343718279,344683796,345370612,346153001,346517987,346961127,346942960,348331552,350357398
Eritrea,ERI,"Population, total",SP.POP.TOTL,2547424,2653390,2763140,2831732,2880093,2926168,3005779,3083888,3147727,3207570,3252596,3296367,3323425,3340006,3365287,3396933,3445374,3498818,3555868,3620312,3684032,3748901
Spain,ESP,"Population, total",SP.POP.TOTL,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46593236,46797754,47134837,47365655,47415794,47778340,48373336
Estonia,EST,"Population, total",SP.POP.TOTL,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840,1366188
Ethiopia,ETH,"Population, total",SP.POP.TOTL,71073215,73168838,75301026,77469940,79691050,81996185,84357105,86755585,89237791,91817929,94451280,97084366,99746766,102471895,105293228,108197950,111129438,114120594,117190911,120283026,123379924,126527060
European Union,EUU,"Population, total",SP.POP.TOTL,430898141,432434810,434059923,435600393,437014860,438484072,439892213,440934530,441552554,440769682,441419873,442496175,443601373,444570054,445515422,446215182,447001100,447367191,447692315,447178093,447370551,449476878
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,641963096,658162649,674132661,690520612,707248050,723930164,741362383,759831151,778734290,797793348,817412582,837410155,857018106,876449625,896306261,916477490,936789597,957873862,979839336,1001870564,1019145355,1042703808
Finland,FIN,"Population, total",SP.POP.TOTL,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106,5584264
Fiji,FJI,"Population, total",SP.POP.TOTL,849891,858306,866694,874923,883083,890648,896731,901383,905169,908355,911059,913453,915560,917200,918371,919019,918996,918465,920422,924610,929766,936375
France,FRA,"Population, total",SP.POP.TOTL,61816234,62256970,62716306,63188395,63628261,64021737,64379696,64710879,65030575,65345233,65662240,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67764304,67971311,68170228
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,46813,47392,47989,48291,48313,48361,48411,48429,48410,48386,48392,48418,48465,48816,49500,50230,50955,51681,52415,52889,53090,53270
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,111992,111805,111438,110940,110301,109532,108704,107868,107588,107887,108232,108609,109024,109462,109925,110430,110929,111379,112106,113131,114164,115224
Gabon,GAB,"Population, total",SP.POP.TOTL,1341696,1378398,1417110,1458353,1502534,1549774,1599978,1653542,1711105,1772500,1836705,1902226,1966855,2028517,2086206,2140215,2192012,2242785,2292573,2341179,2388992,2436566
United Kingdom,GBR,"Population, total",SP.POP.TOTL,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081234,67026292,67791000,68350000
Georgia,GEO,"Population, total",SP.POP.TOTL,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502,3760365
Ghana,GHA,"Population, total",SP.POP.TOTL,20758326,21329514,21906444,22496951,23098586,23708320,24326087,24950762,25574719,26205941,26858762,27525597,28196358,28870939,29554303,30222262,30870641,31522290,32180401,32833031,33475870,34121985
Gibraltar,GIB,"Population, total",SP.POP.TOTL,27892,28301,28716,29155,29587,29996,30398,30819,31262,31701,32160,32411,32452,32520,32565,32602,32648,32685,32709,32669,32649,32688
Guinea,GIN,"Population, total",SP.POP.TOTL,8577790,8772254,8961039,9140114,9330625,9547082,9779785,10021323,10270728,10527712,10788692,11055430,11333365,11625998,11930985,12240789,12554864,12877539,13205153,13531906,13859341,14190612
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1522223,1566257,1612225,1660368,1711294,1764883,1820542,1878119,1937275,1998212,2061014,2124869,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916,2705992,2773168
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1285678,1315653,1347009,1379713,1414091,1450572,1488431,1527196,1567220,1609017,1652717,1697753,1743309,1788919,1834552,1879826,1924955,1970457,2015828,2060721,2105566,2150842
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,754115,789681,826355,864726,905418,948814,994971,1043686,1094524,1144588,1193636,1243941,1295183,1346973,1398927,1450694,1502091,1553031,1596049,1634466,1674908,1714671
Greece,GRC,"Population, total",SP.POP.TOTL,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10426919,10361295
Grenada,GRD,"Population, total",SP.POP.TOTL,108231,108740,109516,110254,110988,111725,112478,113249,114039,114918,115912,116945,117972,118980,119966,120921,121838,122724,123663,124610,125438,126183
Greenland,GRL,"Population, total",SP.POP.TOTL,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56172,56023,56225,56367,56653,56661,56865
Guatemala,GTM,"Population, total",SP.POP.TOTL,12147518,12415334,12682108,12948292,13213330,13477017,13739299,14000190,14259687,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746,17357886,17602431
Guam,GUM,"Population, total",SP.POP.TOTL,162563,163385,164004,164430,164675,164763,164725,164580,164905,165649,166392,167054,167543,167978,168346,168606,168678,168624,169231,170534,171774,172952
Guyana,GUY,"Population, total",SP.POP.TOTL,760323,760562,760424,759709,758367,756521,754150,751258,747932,744230,743966,747420,751115,755031,759087,763252,785514,798753,797202,804567,808726,813834
High income,HIC,"Population, total",SP.POP.TOTL,1268844485,1274957396,1281374060,1288177967,1296180548,1305161431,1314663441,1323316736,1330723736,1335858758,1342743557,1349905020,1357161865,1364282269,1371516373,1377929189,1383955367,1389172209,1393950970,1392964458,1395940386,1403021503
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100,7536100
Honduras,HND,"Population, total",SP.POP.TOTL,7019908,7201881,7383407,7564613,7745200,7924462,8101777,8277302,8450933,8622504,8792367,8960657,9127846,9294505,9460798,9626842,9792850,9958829,10121763,10278345,10432860,10593798
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,502494432,517663749,532571131,547936900,563930944,579864063,596301357,613535903,630953183,648927117,667520863,686620331,706617213,727129254,748356635,770390212,792615894,815100831,838066650,861156745,884288332,907995430
Croatia,HRV,"Population, total",SP.POP.TOTL,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3878981,3855641,3853200
Haiti,HTI,"Population, total",SP.POP.TOTL,8661546,8812245,8961489,9111900,9266288,9420826,9575247,9730638,9842880,9954312,10108539,10261206,10412740,10563757,10713849,10863543,11012421,11160438,11306801,11447569,11584996,11724763
Hungary,HUN,"Population, total",SP.POP.TOTL,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9643048,9589872
IBRD only,IBD,"Population, total",SP.POP.TOTL,4072303744,4117630166,4162927496,4207824263,4251458316,4293654594,4336867656,4380820406,4424528755,4469961043,4517846874,4566948798,4615651856,4662836842,4708313438,4752675645,4794094269,4832585266,4866828116,4894666421,4912348798,4937047867
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,5243694285,5317975833,5392175010,5466351480,5540049563,5612877854,5686788085,5762203524,5838903143,5917936328,5998753810,6079936045,6160835364,6240908648,6320624467,6400602851,6478776303,6555193386,6628629499,6696373761,6754104791,6819750360
IDA total,IDA,"Population, total",SP.POP.TOTL,1171390541,1200345667,1229247514,1258527217,1288591247,1319223260,1349920429,1381383118,1414374388,1447975285,1480906936,1512987247,1545183508,1578071806,1612311029,1647927206,1684682034,1722608120,1761801383,1801707340,1841755993,1882702493
IDA blend,IDB,"Population, total",SP.POP.TOTL,392011236,401318288,410960215,420690092,430617236,440957937,451665010,462819210,474626536,486354807,497317025,507906365,518378284,528669692,538868249,549511044,560698093,572192040,584212703,596608333,609342910,622553200
Indonesia,IDN,"Population, total",SP.POP.TOTL,220115092,223080121,225938595,228805144,231797427,234858289,237936543,240981299,244016173,247099697,250222695,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191,275501339,277534122
IDA only,IDX,"Population, total",SP.POP.TOTL,779379305,799027379,818287299,837837125,857974011,878265323,898255419,918563908,939747852,961620478,983589911,1005080882,1026805224,1049402114,1073442780,1098416162,1123983941,1150416080,1177588680,1205099007,1232413083,1260149293
Isle of Man,IMN,"Population, total",SP.POP.TOTL,77183,77939,78677,79415,80228,81100,81997,82915,83828,84350,84338,84144,83896,83593,83450,83580,83775,83933,84046,84263,84519,84710
India,IND,"Population, total",SP.POP.TOTL,1098313039,1117415123,1136264583,1154638713,1172373788,1189691809,1206734806,1223640160,1240613620,1257621191,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173,1428627663
Not classified,INX,"Population, total",SP.POP.TOTL,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Population, total",SP.POP.TOTL,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033164,5127170,5262382
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,67327117,67954699,69061674,70182594,71275760,72319418,73318394,74322685,75373855,76342971,77324451,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432,88550570,89172767
Iraq,IRQ,"Population, total",SP.POP.TOTL,26255343,27068823,27858948,28698684,28905607,28660887,29218381,30289040,31264875,32378061,33864447,35481800,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592,44496122,45504560
Iceland,ISL,"Population, total",SP.POP.TOTL,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,352721,360563,366463,372520,382003,393600
Israel,ISR,"Population, total",SP.POP.TOTL,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9371400,9557500,9756700
Italy,ITA,"Population, total",SP.POP.TOTL,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59133173,58940425,58761146
Jamaica,JAM,"Population, total",SP.POP.TOTL,2638244,2651027,2664024,2676863,2689660,2701221,2711373,2722401,2733896,2746169,2759817,2773129,2784543,2794445,2802695,2808376,2811835,2813773,2820436,2827695,2827377,2825544
Jordan,JOR,"Population, total",SP.POP.TOTL,5275532,5396117,5532423,5678534,6075548,6473457,6632873,6780493,6931258,7109980,7211863,7694814,8658026,9494246,9964656,10215381,10459865,10698683,10928721,11148278,11285869,11337052
Japan,JPN,"Population, total",SP.POP.TOTL,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,124516650
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,14858948,14909019,15012984,15147029,15308085,15484192,15776938,16092822,16321872,16557202,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19191356,19634983,19900177
Kenya,KEN,"Population, total",SP.POP.TOTL,32779823,33767122,34791836,35843010,36925253,38036793,39186895,40364444,41517895,42635144,43725806,44792368,45831863,46851488,47894670,48948137,49953304,50951450,51985780,53005614,54027487,55100586
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6773400,6974900,7100800
